band,mean_corr,std_corr,n_pairs,condition
1,0.993496626536801,0.011464956395815082,45,rest
2,0.9940582776234798,0.007620684828963962,45,rest
3,0.9932477203192309,0.006249547699215524,45,rest
4,0.9967156765157132,0.002957357293750622,45,rest
5,0.9484937792695901,0.0688207278416175,45,rest
1,0.7360115775595281,0.2798078239743214,45,task
2,0.7348482875394136,0.2788444476088061,45,task
3,0.7346519720617398,0.27818437086236225,45,task
4,0.7360613401647342,0.2796870660720539,45,task
5,0.7336830096799547,0.27727252346873266,45,task
