subject_pair,connectivity_similarity
S001-S002,0.9070403382061588
S001-S003,0.7659643140540366
S001-S004,0.6127407688568874
S001-S005,0.4298675686806069
S001-S006,0.7413029887459858
S001-S007,0.7384724270674503
S001-S008,0.7912390122371772
S001-S009,0.6492888159406767
S001-S010,0.6028164890284302
S002-S003,0.7704216276738334
S002-S004,0.5539430474146347
S002-S005,0.4807737271349945
S002-S006,0.7132397170804394
S002-S007,0.7804904403775142
S002-S008,0.7760666624069026
S002-S009,0.6183873049217894
S002-S010,0.6059797702475451
S003-S004,0.5932976230362512
S003-S005,0.45124675218134513
S003-S006,0.5944602780897013
S003-S007,0.657850680148108
S003-S008,0.7011145493078191
S003-S009,0.4871424525769148
S003-S010,0.5961399737486452
S004-S005,0.33805108008036955
S004-S006,0.5560157507623269
S004-S007,0.5123129795645021
S004-S008,0.44281434627179367
S004-S009,0.5271479305381812
S004-S010,0.38888357838086896
S005-S006,0.4185187962967212
S005-S007,0.7444836876905622
S005-S008,0.434940223774533
S005-S009,0.4012120133684235
S005-S010,0.3657463536373483
S006-S007,0.6340894979400852
S006-S008,0.5964159369411914
S006-S009,0.7928498700628577
S006-S010,0.40951103897283936
S007-S008,0.6624713327811146
S007-S009,0.60199720566363
S007-S010,0.5778245433635392
S008-S009,0.4796456268810094
S008-S010,0.622206483972261
S009-S010,0.28125836946854704
