subject,condition,lambda_2
S001,rest,0.6780239263862512
S002,rest,0.5302024722328743
S003,rest,0.6923268866058412
S004,rest,0.8356515151465366
S005,rest,0.6155188973591885
S006,rest,0.819308264628107
S007,rest,0.5814521828509434
S008,rest,0.7441014769939175
S009,rest,0.7462565794393266
S010,rest,0.8441043230982467
S001,task,0.8026146259542586
S002,task,0.5807634952335246
S003,task,0.8482672600341647
S004,task,0.8756476953931996
S005,task,0.6860540308303568
S006,task,0.7748670743617373
S007,task,0.5793019264985956
S008,task,0.7924536847207382
S009,task,0.8252970938955222
S010,task,0.791845721379792
